id,question,option_a,option_b,option_c,option_d
Q38,"What are two key benefits of defining the protect surface when planning a Zero Trust implementation?","Defining the protect surface eliminates the need for network segmentation and logging","It expands visibility of all entry points and is more comprehensive than the attack surface","Defining the protect surface identifies the critical data and assets to protect","It allows moving controls closer to critical assets and is more stable than the attack surface"
Q39,"Which of the following should form the basis of any Zero Trust approach to minimize project failure and disruption to existing systems?","Proper risk management","Extensive user training","Rapid deployment timelines","Reliance on existing controls"
Q40,"Which of the following are key planning considerations for implementing a Zero Trust architecture?","Open ports, privileged access for all users, on-premises infrastructure only","Static security policies, annual risk assessments, perimeter-based network segmentation","Stakeholders, technology strategy, risk register, security policies, and architecture options","Default allow access policies, user training optional, focus on detection over prevention"
Q41,"Which of the following is a special consideration for implementing Zero Trust in BYOD environments?","Privacy concerns when deploying Zero Trust agents on personal devices","Ensuring devices support browser-based Zero Trust access methods","Testing Zero Trust agents for compatibility with different operating systems","Configuring Zero Trust policies based on device ownership"
Q42,"Which Zero Trust cross-cutting capability aggregates logs from ZT components to enable dashboards, event correlation, threat analysis and policy monitoring?","Automation and Orchestration","Governance","Identity","Visibility and Analytics"
Q43,"What is the purpose of a formal governance review process in the context of Zero Trust implementations?","To validate the technical details of the Zero Trust architecture design","To verify phase completion, funding, risk assessment and measurement of defined metrics","To ensure end users are trained on the new Zero Trust procedures","To test the performance and scalability of the Zero Trust infrastructure components"
Q44,"What should be done to existing transaction flows when implementing Zero Trust Architecture?","Completely discard them and design new transaction flows from scratch","Keep them as-is with no changes required for Zero Trust implementation","Review and remap them to incorporate Zero Trust nodes, services, and components","Document them for reference but don't modify the actual flow of transactions"
Q45,"Which of the following best describes how ZT implementations should drive future adjustments as the environment evolves?","Leverage a continuous feedback loop to monitor results and trigger change control","Once implemented, a ZT architecture should remain static to maintain security","Adjust ZT implementations on an annual basis during scheduled maintenance windows","Empower individual teams to make ad-hoc changes to ZT as they see fit"
Q46,"When closing a Zero Trust implementation project, which of the following activities are critical to ensuring a successful transition to operations and maintenance?","Decommissioning all legacy architecture, conducting vulnerability scans, and performing regular audits","Obtaining stakeholder sign-off, communicating the go-live date, and ensuring documentation is sufficient for future troubleshooting","Re-evaluating risks, making timeline adjustments, and reviewing technology changes","Defining success criteria, promoting cross-departmental collaboration, and integrating with the cybersecurity program"
Q47,"Which of the following are key implementation preparation activities for Zero Trust?","Conducting penetration testing, reviewing SLAs with vendors, and rolling out ZT to the entire organization","Identifying policy decision points, creating data flow diagrams, and decommissioning legacy systems","Defining project deliverables, communicating changes to users, and creating an implementation checklist","Performing a risk assessment, defining KPIs for success measurement, and implementing all ZT pillars simultaneously"
Q48,"How should a Zero Trust target architecture implementation leverage the five ZT pillars and three cross-cutting capabilities?","Implement each pillar and capability sequentially and in isolation","Focus only on the five pillars; the cross-cutting capabilities are optional","Let each pillar team independently decide their own implementation approach","Define and prioritize implementation tasks across all pillars and capabilities"
Q49,"How should permissions for identities evolve as Zero Trust implementations mature from traditional to optimal levels?","Permissions should remain role-based at all maturity levels","Permissions should transition from role-based to attribute-based as implementations mature","Permissions should be attribute-based at the start and transition to role-based","Permissions do not need to change as Zero Trust implementations mature"
Q50,"In a Zero Trust Architecture, which of the following tasks are required to effectively apply Zero Trust principles to data resources?","Define transaction flows only for sensitive data resources","Ship logs from the PDP and PEP to separate SIEMs for each resource","Discover, inventory, categorize, and control data resources","Use the identity store only to identify privileged users' data access"
